"g031_case" "g032_case" "g033_case" "g034_cont" "g035_cont" "g036_cont"
"ENSG00000141956" 3 0 3 42 41 46
"ENSG00000141959" 2 1 1 31 30 24
"ENSG00000142149" 2 1 0 23 17 17
"ENSG00000142156" 0 1 1 19 16 16
"ENSG00000142166" 1 1 1 17 12 16
"ENSG00000142168" 0 0 0 3 6 9
"ENSG00000142173" 1 2 0 26 20 14
"ENSG00000142178" 0 1 0 11 17 12
"ENSG00000142182" 1 0 0 9 2 4
"ENSG00000142185" 2 3 4 10 11 10
"ENSG00000142188" 1 2 0 14 16 9
"ENSG00000142192" 35 38 44 72 80 59
"ENSG00000142197" 16 17 19 2 7 5
"ENSG00000142207" 24 27 32 6 3 6
"ENSG00000154639" 1 2 2 7 4 2
"ENSG00000154640" 0 0 0 1 4 1
"ENSG00000154642" 2 1 0 5 3 8
"ENSG00000154645" 7 5 6 2 0 3
"ENSG00000154646" 9 4 7 2 0 2
"ENSG00000154654" 13 19 14 3 7 1
"ENSG00000154719" 2 0 0 3 0 1
"ENSG00000154721" 8 11 13 3 5 2
"ENSG00000154723" 1 0 0 0 2 2
"ENSG00000154727" 8 5 12 4 0 4
"ENSG00000154734" 13 13 11 2 2 3
"ENSG00000154736" 16 12 17 5 2 4
"ENSG00000155304" 3 3 7 1 2 5
"ENSG00000155307" 0 0 0 1 3 4
"ENSG00000155313" 6 3 2 18 13 13
"ENSG00000156239" 2 2 3 4 5 3
"ENSG00000156253" 4 2 6 3 0 2
"ENSG00000156256" 3 4 0 8 6 12
"ENSG00000156261" 1 1 1 0 1 2
"ENSG00000156265" 2 5 0 7 6 12
"ENSG00000156273" 0 4 1 7 4 4
"ENSG00000156282" 0 0 0 0 0 0
"ENSG00000156284" 0 0 0 0 0 0
"ENSG00000156299" 0 3 2 2 3 5
"ENSG00000156304" 2 4 0 5 12 12
"ENSG00000157538" 1 2 4 3 4 3
"ENSG00000157540" 1 3 5 9 10 11
"ENSG00000157542" 1 3 6 6 5 6
"ENSG00000157551" 2 1 2 4 3 8
"ENSG00000157554" 4 3 5 10 11 14
"ENSG00000157557" 1 0 2 1 0 2
"ENSG00000157578" 0 0 0 0 0 0
"ENSG00000157601" 3 3 3 8 5 9
"ENSG00000157617" 2 1 3 6 4 7
"ENSG00000159055" 0 1 0 0 0 0
"ENSG00000159079" 0 0 1 1 1 2
"ENSG00000159082" 2 3 2 9 3 8
"ENSG00000159086" 2 2 3 11 7 3
"ENSG00000159110" 0 1 0 4 3 2
"ENSG00000159128" 0 0 0 3 4 1
"ENSG00000159131" 4 5 5 10 6 8
"ENSG00000159140" 7 6 6 15 13 20
"ENSG00000159147" 0 0 1 0 0 3
"ENSG00000159197" 0 0 0 1 0 0
"ENSG00000159200" 1 0 3 5 7 5
"ENSG00000159212" 1 1 0 1 1 0
"ENSG00000159216" 0 1 2 4 5 9
"ENSG00000159228" 2 2 1 4 2 6
"ENSG00000159231" 0 0 0 0 0 0
"ENSG00000159256" 3 2 0 6 4 7
"ENSG00000159259" 0 1 0 2 4 2
"ENSG00000159261" 2 0 0 2 2 2
"ENSG00000159263" 1 0 1 1 5 4
"ENSG00000159267" 5 3 2 8 3 9
"ENSG00000160179" 4 5 3 10 18 10
"ENSG00000160180" 0 0 0 0 0 0
"ENSG00000160181" 0 0 1 1 0 0
"ENSG00000160182" 0 0 1 0 2 1
"ENSG00000160183" 1 2 0 2 3 1
"ENSG00000160185" 1 4 0 5 4 4
"ENSG00000160188" 0 0 1 2 2 2
"ENSG00000160190" 1 4 4 7 8 5
"ENSG00000160191" 79 81 75 124 133 134
"ENSG00000160193" 1 0 2 4 1 2
"ENSG00000160194" 0 1 0 4 4 6
"ENSG00000160199" 0 1 1 2 6 2
"ENSG00000160200" 2 3 3 12 8 8
"ENSG00000160201" 3 5 4 12 13 8
"ENSG00000160202" 0 0 0 0 0 0
"ENSG00000160207" 0 0 0 1 1 1
"ENSG00000160208" 1 3 1 1 3 1
"ENSG00000160209" 7 6 2 14 7 11
"ENSG00000160213" 0 1 1 1 0 1
"ENSG00000160214" 1 0 0 4 3 1
"ENSG00000160216" 2 4 4 9 10 14
"ENSG00000160218" 5 2 2 9 10 9
"ENSG00000160221" 1 2 0 2 4 2
"ENSG00000160223" 4 2 4 8 10 7
"ENSG00000160224" 0 0 1 2 3 3
"ENSG00000160226" 1 1 1 5 7 4
"ENSG00000160233" 1 0 1 1 2 2
"ENSG00000160255" 2 0 0 3 3 1
"ENSG00000160256" 0 0 1 0 1 1
"ENSG00000160282" 3 1 1 3 2 3
"ENSG00000160284" 1 0 0 4 4 2
"ENSG00000160285" 2 2 2 10 8 5
"ENSG00000160294" 0 0 1 0 1 5
"ENSG00000160298" 2 1 0 1 1 3
"ENSG00000160299" 1 1 4 5 8 5
"ENSG00000160305" 4 3 5 9 15 10
"ENSG00000160307" 0 0 0 0 0 0
"ENSG00000160310" 4 2 4 8 11 8
"ENSG00000166157" 0 4 1 3 6 3
"ENSG00000166265" 0 0 2 3 5 3
"ENSG00000166351" 0 1 0 2 1 0
"ENSG00000166979" 2 4 0 4 4 6
"ENSG00000168122" 0 0 0 0 0 0
"ENSG00000169861" 0 0 0 0 0 0
"ENSG00000170262" 0 3 0 1 1 0
"ENSG00000171189" 1 0 1 4 5 4
"ENSG00000171587" 2 0 3 9 6 4
"ENSG00000173231" 0 0 0 0 0 0
"ENSG00000173276" 4 6 3 9 10 9
"ENSG00000173638" 0 0 2 2 2 1
"ENSG00000174680" 0 1 0 4 2 2
"ENSG00000175302" 0 0 0 0 0 0
"ENSG00000175894" 1 1 0 5 0 1
"ENSG00000176054" 0 0 0 0 0 0
"ENSG00000177398" 2 0 5 10 9 8
"ENSG00000177692" 0 1 1 3 2 1
"ENSG00000178457" 0 0 0 0 0 0
"ENSG00000179381" 0 0 0 0 0 0
"ENSG00000180509" 0 0 0 0 1 0
"ENSG00000180530" 0 0 0 0 0 0
"ENSG00000182093" 1 0 1 5 3 3
"ENSG00000182240" 1 0 5 6 8 5
"ENSG00000182362" 1 0 2 2 2 2
"ENSG00000182586" 1 0 0 0 0 1
"ENSG00000182591" 0 0 0 1 1 1
"ENSG00000182670" 5 5 7 18 12 15
"ENSG00000182816" 0 0 0 0 1 0
"ENSG00000182871" 0 0 0 0 0 0
"ENSG00000182912" 0 2 2 5 3 3
"ENSG00000183036" 0 0 0 1 0 0
"ENSG00000183067" 1 0 0 1 1 1
"ENSG00000183145" 0 0 0 1 4 0
"ENSG00000183249" 0 0 0 0 0 0
"ENSG00000183250" 0 1 1 0 0 0
"ENSG00000183255" 1 0 0 1 1 1
"ENSG00000183421" 0 1 2 3 3 0
"ENSG00000183486" 4 1 2 5 1 6
"ENSG00000183527" 2 1 0 1 2 2
"ENSG00000183535" 1 0 0 2 1 1
"ENSG00000183570" 1 1 0 3 2 3
"ENSG00000183640" 0 0 0 0 0 0
"ENSG00000183653" 0 0 0 0 0 0
"ENSG00000183778" 1 2 1 7 5 7
"ENSG00000183844" 3 1 6 2 5 2
"ENSG00000184012" 1 0 1 3 2 2
"ENSG00000184029" 0 0 0 2 3 0
"ENSG00000184032" 0 0 0 0 0 0
"ENSG00000184221" 0 0 0 0 0 0
"ENSG00000184274" 0 0 0 0 0 0
"ENSG00000184351" 0 0 0 0 0 0
"ENSG00000184385" 1 1 0 2 2 3
"ENSG00000184441" 1 0 0 4 6 2
"ENSG00000184586" 0 0 0 0 0 0
"ENSG00000184724" 0 0 0 0 0 0
"ENSG00000184787" 2 1 1 5 13 2
"ENSG00000184809" 1 0 0 1 1 1
"ENSG00000184856" 0 0 0 0 0 0
"ENSG00000184900" 1 2 0 1 2 2
"ENSG00000185186" 0 0 0 1 1 1
"ENSG00000185272" 0 1 0 0 1 0
"ENSG00000185390" 0 0 0 0 0 0
"ENSG00000185433" 0 0 0 0 0 0
"ENSG00000185437" 0 0 1 3 1 1
"ENSG00000185658" 6 11 2 29 23 32
"ENSG00000185808" 1 3 2 5 3 10
"ENSG00000185917" 3 0 4 7 10 6
"ENSG00000186842" 0 0 0 0 0 0
"ENSG00000186866" 2 3 1 11 8 4
"ENSG00000186924" 0 0 0 0 0 0
"ENSG00000186925" 0 0 0 0 0 0
"ENSG00000186930" 0 0 0 0 0 0
"ENSG00000186965" 0 0 0 0 0 0
"ENSG00000186967" 0 0 0 0 0 0
"ENSG00000186970" 0 0 0 0 0 0
"ENSG00000186971" 0 0 0 0 0 0
"ENSG00000186977" 0 0 0 0 0 0
"ENSG00000186980" 0 0 0 0 0 0
"ENSG00000187005" 0 0 0 0 0 0
"ENSG00000187026" 0 0 0 0 0 0
"ENSG00000187172" 0 0 0 2 2 2
"ENSG00000187175" 0 0 0 0 1 0
"ENSG00000187766" 0 0 0 1 1 3
"ENSG00000188155" 1 0 0 1 1 1
"ENSG00000188660" 1 0 1 2 2 1
"ENSG00000188681" 0 0 0 4 1 0
"ENSG00000188694" 0 0 0 1 1 1
"ENSG00000188992" 0 0 0 0 1 1
"ENSG00000189089" 1 0 1 2 5 3
"ENSG00000189169" 0 0 0 0 1 1
"ENSG00000197381" 6 2 6 9 14 15
"ENSG00000197683" 0 0 0 1 1 1
"ENSG00000197934" 3 1 1 2 4 5
"ENSG00000198054" 0 1 0 1 0 2
"ENSG00000198390" 0 0 0 0 0 0
"ENSG00000198434" 0 0 0 0 0 0
"ENSG00000198618" 0 0 0 0 0 0
"ENSG00000198743" 0 0 0 0 0 0
"ENSG00000198862" 2 1 0 7 7 11
"ENSG00000199030" 0 0 0 0 0 0
"ENSG00000199598" 0 0 0 0 0 0
"ENSG00000199698" 0 0 0 0 0 0
"ENSG00000199806" 0 0 0 1 0 0
"ENSG00000199962" 0 0 0 0 0 0
"ENSG00000200213" 0 0 0 0 0 0
"ENSG00000200754" 0 0 0 0 0 0
"ENSG00000200792" 0 2 1 0 0 0
"ENSG00000201025" 0 0 0 0 0 1
"ENSG00000201812" 0 0 0 0 0 0
"ENSG00000201984" 0 0 0 0 2 1
"ENSG00000202239" 0 0 0 0 0 0
"ENSG00000202339" 0 0 0 0 0 0
"ENSG00000203616" 0 0 0 0 0 0
"ENSG00000205424" 0 1 1 1 0 3
"ENSG00000205439" 0 0 0 0 1 0
"ENSG00000205441" 0 0 0 1 1 0
"ENSG00000205445" 0 0 0 1 2 1
"ENSG00000205581" 0 1 1 1 2 4
"ENSG00000205622" 0 0 0 0 0 0
"ENSG00000205670" 1 0 0 2 5 4
"ENSG00000205726" 9 5 5 26 27 31
"ENSG00000205758" 0 1 1 4 2 5
"ENSG00000205927" 1 0 0 1 1 0
"ENSG00000205929" 1 1 0 4 3 2
"ENSG00000205930" 1 1 0 1 5 2
"ENSG00000206102" 0 0 0 0 0 0
"ENSG00000206104" 0 0 0 0 0 0
"ENSG00000206105" 0 0 0 0 0 0
"ENSG00000206106" 0 0 0 0 0 0
"ENSG00000206107" 0 0 0 0 0 0
"ENSG00000206802" 0 0 0 0 0 0
"ENSG00000207097" 0 0 0 0 0 0
"ENSG00000207098" 0 0 0 0 0 0
"ENSG00000207147" 0 0 0 0 0 0
"ENSG00000207416" 0 0 0 0 0 0
"ENSG00000207476" 0 0 0 0 2 0
"ENSG00000207503" 0 0 0 0 0 0
"ENSG00000207638" 0 0 0 1 0 0
"ENSG00000207863" 0 0 0 0 0 0
"ENSG00000211590" 0 0 0 0 0 0
"ENSG00000212136" 0 0 0 0 0 0
"ENSG00000212479" 0 0 0 0 0 0
"ENSG00000212564" 0 0 0 0 0 0
"ENSG00000212609" 0 0 0 0 0 0
"ENSG00000212932" 0 0 0 0 0 0
"ENSG00000212933" 0 0 0 0 0 0
"ENSG00000212935" 0 2 0 1 2 1
"ENSG00000212938" 0 0 0 0 0 0
"ENSG00000213440" 0 0 1 1 3 0
"ENSG00000213885" 0 0 0 0 0 0
"ENSG00000214319" 0 0 0 0 0 0
"ENSG00000214326" 0 0 0 0 0 1
"ENSG00000214867" 0 0 0 0 0 0
"ENSG00000214889" 0 0 0 0 0 0
"ENSG00000214914" 0 0 0 0 0 0
"ENSG00000214955" 0 0 0 0 0 0
"ENSG00000214976" 0 0 0 1 1 0
"ENSG00000215005" 0 0 0 0 0 0
"ENSG00000215088" 0 0 0 0 0 0
"ENSG00000215317" 0 0 0 0 0 0
"ENSG00000215326" 0 0 0 0 0 0
"ENSG00000215351" 0 0 0 0 0 0
"ENSG00000215353" 0 0 0 0 0 0
"ENSG00000215369" 0 0 0 0 0 0
"ENSG00000215386" 1 0 0 4 2 1
"ENSG00000215424" 1 2 2 3 5 4
"ENSG00000215447" 0 0 0 0 0 0
"ENSG00000215454" 0 0 0 1 2 2
"ENSG00000215455" 0 0 0 1 1 3
"ENSG00000215458" 0 1 1 2 2 3
"ENSG00000215533" 0 0 0 0 0 0
"ENSG00000215559" 0 0 0 0 0 0
"ENSG00000215562" 0 0 0 0 0 0
"ENSG00000215734" 0 0 0 0 0 0
"ENSG00000216197" 0 0 0 0 0 0
"ENSG00000217026" 0 0 0 0 0 0
"ENSG00000218125" 0 0 0 0 0 0
"ENSG00000218549" 0 0 0 0 0 0
"ENSG00000219280" 0 0 0 0 0 0
"ENSG00000219368" 0 0 0 0 0 0
"ENSG00000219592" 0 0 0 0 0 0
"ENSG00000221041" 0 0 0 0 0 0
"ENSG00000221210" 0 1 0 0 0 0
"ENSG00000221335" 0 0 0 0 0 0
"ENSG00000221396" 0 0 0 0 0 0
"ENSG00000221398" 0 0 0 0 0 0
"ENSG00000221497" 0 0 0 0 0 0
"ENSG00000221837" 0 0 0 1 3 1
"ENSG00000221859" 0 0 0 3 1 2
"ENSG00000221864" 0 0 0 0 0 0
"ENSG00000222018" 1 0 0 2 0 0
"ENSG00000222042" 0 0 0 0 0 0
"ENSG00000223078" 0 0 0 0 0 0
"ENSG00000223262" 0 0 0 0 1 0
"ENSG00000223287" 0 0 0 0 0 0
"ENSG00000223400" 0 0 0 0 0 0
"ENSG00000223431" 0 0 0 0 0 0
"ENSG00000223488" 0 0 0 0 0 0
"ENSG00000223563" 0 1 0 0 0 0
"ENSG00000223608" 0 0 0 0 0 0
"ENSG00000223662" 0 0 0 0 0 0
"ENSG00000223671" 0 0 0 0 0 0
"ENSG00000223692" 1 1 0 3 0 0
"ENSG00000223741" 0 0 0 1 1 1
"ENSG00000223768" 0 0 0 0 0 0
"ENSG00000223799" 0 0 0 1 0 2
"ENSG00000223806" 0 0 0 0 0 0
"ENSG00000223822" 0 0 0 0 0 0
"ENSG00000223870" 0 0 0 0 0 0
"ENSG00000223901" 0 0 1 1 2 0
"ENSG00000223925" 0 0 0 0 0 0
"ENSG00000223975" 0 0 0 1 0 0
"ENSG00000224018" 0 0 0 0 0 0
"ENSG00000224100" 0 0 0 0 0 0
"ENSG00000224141" 0 0 0 0 0 0
"ENSG00000224247" 0 0 0 0 0 0
"ENSG00000224269" 0 0 0 0 0 0
"ENSG00000224309" 0 1 1 1 2 1
"ENSG00000224388" 3 1 1 0 1 0
"ENSG00000224413" 0 0 0 0 0 0
"ENSG00000224421" 0 0 0 0 0 0
"ENSG00000224427" 0 0 0 0 0 0
"ENSG00000224524" 0 0 0 0 0 0
"ENSG00000224541" 1 0 1 6 3 2
"ENSG00000224574" 0 0 0 0 0 0
"ENSG00000224598" 0 1 0 0 0 0
"ENSG00000224602" 0 0 0 0 0 0
"ENSG00000224649" 0 0 0 0 0 0
"ENSG00000224747" 0 0 0 0 0 0
"ENSG00000224790" 0 0 0 0 2 0
"ENSG00000224832" 0 0 0 0 0 0
"ENSG00000224860" 0 0 0 0 0 0
"ENSG00000224905" 0 0 0 0 0 0
"ENSG00000224922" 0 0 0 0 0 0
"ENSG00000224924" 0 0 0 0 0 0
"ENSG00000224930" 0 0 0 0 0 0
"ENSG00000225043" 0 1 0 0 0 1
"ENSG00000225218" 0 0 0 0 0 0
"ENSG00000225267" 0 0 0 0 0 0
"ENSG00000225298" 0 0 0 0 0 0
"ENSG00000225330" 0 1 0 0 0 0
"ENSG00000225331" 0 0 0 0 0 0
"ENSG00000225431" 0 0 0 0 0 0
"ENSG00000225502" 0 0 0 0 0 0
"ENSG00000225555" 0 0 0 1 0 0
"ENSG00000225637" 0 0 0 0 0 0
"ENSG00000225731" 23 23 21 38 43 32
"ENSG00000225735" 0 0 0 0 0 0
"ENSG00000225745" 2 2 1 4 2 1
"ENSG00000225906" 0 0 0 0 0 0
"ENSG00000226012" 0 0 0 0 0 0
"ENSG00000226043" 0 0 0 0 0 0
"ENSG00000226054" 0 0 0 0 0 0
"ENSG00000226115" 0 0 0 0 0 0
"ENSG00000226204" 0 0 0 0 0 0
"ENSG00000226298" 0 0 0 0 0 0
"ENSG00000226406" 0 0 0 0 0 0
"ENSG00000226433" 0 0 0 0 0 0
"ENSG00000226496" 0 0 0 0 0 0
"ENSG00000226501" 1 0 0 1 2 0
"ENSG00000226527" 0 0 0 0 0 0
"ENSG00000226543" 0 0 0 0 0 0
"ENSG00000226580" 0 0 0 0 0 0
"ENSG00000226751" 0 0 0 0 0 0
"ENSG00000226771" 0 5 2 0 0 0
"ENSG00000226818" 0 0 0 0 0 0
"ENSG00000226930" 0 0 0 0 0 0
"ENSG00000226935" 0 0 0 0 0 0
"ENSG00000226956" 0 0 0 0 0 0
"ENSG00000226983" 0 0 0 0 0 0
"ENSG00000226996" 0 0 0 0 0 0
"ENSG00000227039" 0 0 2 0 2 1
"ENSG00000227054" 0 0 2 0 0 1
"ENSG00000227075" 0 0 0 0 0 0
"ENSG00000227090" 0 0 0 0 0 0
"ENSG00000227256" 1 1 0 0 0 0
"ENSG00000227330" 0 0 0 0 0 0
"ENSG00000227342" 0 0 0 0 0 0
"ENSG00000227406" 0 0 0 0 0 0
"ENSG00000227438" 0 0 0 0 0 0
"ENSG00000227456" 0 0 0 0 0 0
"ENSG00000227691" 0 0 0 0 0 1
"ENSG00000227698" 0 1 0 2 1 4
"ENSG00000227702" 0 0 0 0 0 0
"ENSG00000227716" 0 0 0 0 0 0
"ENSG00000227721" 0 0 0 0 0 0
"ENSG00000227757" 0 0 0 0 0 0
"ENSG00000227840" 0 0 0 0 0 0
"ENSG00000227874" 0 0 0 0 0 0
"ENSG00000227999" 0 0 0 0 0 0
"ENSG00000228107" 0 0 0 0 1 0
"ENSG00000228120" 0 0 0 0 0 0
"ENSG00000228137" 0 0 0 0 0 0
"ENSG00000228149" 2 2 1 1 2 0
"ENSG00000228159" 0 0 0 0 0 0
"ENSG00000228184" 0 0 0 0 0 0
"ENSG00000228235" 0 0 0 0 0 0
"ENSG00000228314" 0 0 0 0 0 0
"ENSG00000228318" 0 0 0 0 0 4
"ENSG00000228349" 0 0 0 0 0 1
"ENSG00000228355" 0 0 0 0 0 0
"ENSG00000228404" 0 0 0 1 0 1
"ENSG00000228433" 0 0 0 0 0 0
"ENSG00000228592" 0 0 0 0 0 0
"ENSG00000228600" 0 0 0 0 0 0
"ENSG00000228677" 0 0 0 0 0 4
"ENSG00000228708" 0 0 0 0 0 0
"ENSG00000228709" 0 0 0 0 0 0
"ENSG00000228798" 0 0 0 0 0 0
"ENSG00000228817" 0 0 0 0 0 0
"ENSG00000228861" 0 0 0 0 0 0
"ENSG00000228930" 0 0 0 0 0 0
"ENSG00000228941" 0 0 0 0 0 0
"ENSG00000228961" 0 0 0 0 0 0
"ENSG00000229007" 0 0 0 0 0 1
"ENSG00000229025" 0 0 0 0 0 0
"ENSG00000229046" 0 0 0 1 1 1
"ENSG00000229047" 0 0 0 0 0 0
"ENSG00000229086" 0 0 0 0 0 0
"ENSG00000229231" 0 0 0 0 0 0
"ENSG00000229289" 0 0 0 0 0 0
"ENSG00000229306" 0 0 0 0 0 0
"ENSG00000229336" 0 0 0 0 0 0
"ENSG00000229356" 0 0 0 0 0 0
"ENSG00000229382" 0 0 0 0 0 0
"ENSG00000229425" 0 0 0 0 0 0
"ENSG00000229623" 0 1 0 1 0 1
"ENSG00000229761" 0 0 0 0 0 0
"ENSG00000229880" 1 0 2 0 0 0
"ENSG00000229925" 0 0 0 0 0 0
"ENSG00000229962" 0 0 0 0 0 0
"ENSG00000229986" 0 0 0 0 0 0
"ENSG00000230061" 1 1 0 1 2 4
"ENSG00000230198" 0 0 0 0 0 0
"ENSG00000230212" 0 0 1 1 0 3
"ENSG00000230233" 0 0 0 0 0 0
"ENSG00000230323" 0 0 0 0 0 0
"ENSG00000230366" 0 0 0 0 0 0
"ENSG00000230379" 0 0 0 0 0 0
"ENSG00000230479" 0 0 0 0 1 4
"ENSG00000230794" 0 0 0 0 0 0
"ENSG00000230859" 0 0 0 0 0 0
"ENSG00000230870" 0 0 0 0 0 0
"ENSG00000230965" 0 0 0 0 0 0
"ENSG00000230972" 0 0 0 0 0 0
"ENSG00000230978" 0 0 0 0 0 0
"ENSG00000230982" 0 0 1 1 0 1
"ENSG00000231058" 0 0 0 0 0 0
"ENSG00000231068" 0 0 0 0 0 0
"ENSG00000231106" 0 0 0 0 0 0
"ENSG00000231123" 0 0 0 0 0 0
"ENSG00000231125" 0 0 0 0 0 0
"ENSG00000231136" 0 0 0 0 0 0
"ENSG00000231201" 0 0 0 0 0 0
"ENSG00000231231" 0 0 0 0 0 0
"ENSG00000231236" 0 0 0 0 0 0
"ENSG00000231300" 0 0 0 0 0 0
"ENSG00000231324" 0 0 0 0 0 0
"ENSG00000231355" 0 0 0 0 0 0
"ENSG00000231480" 0 0 0 0 0 0
"ENSG00000231620" 0 0 0 0 0 0
"ENSG00000231713" 0 0 0 0 0 0
"ENSG00000231755" 0 0 0 0 0 0
"ENSG00000231867" 0 0 0 0 1 1
"ENSG00000231962" 0 0 0 0 0 0
"ENSG00000231986" 0 0 0 0 0 0
"ENSG00000232010" 0 0 0 1 2 3
"ENSG00000232079" 0 0 0 0 0 0
"ENSG00000232118" 0 0 0 0 0 0
"ENSG00000232124" 0 0 0 0 0 0
"ENSG00000232193" 0 0 0 0 0 0
"ENSG00000232260" 0 0 0 1 0 1
"ENSG00000232263" 0 0 0 0 0 0
"ENSG00000232360" 0 0 0 0 0 0
"ENSG00000232401" 0 0 0 0 0 0
"ENSG00000232512" 0 0 0 0 0 0
"ENSG00000232539" 0 0 0 0 0 0
"ENSG00000232560" 0 0 0 0 0 0
"ENSG00000232608" 0 0 1 0 1 1
"ENSG00000232623" 0 0 0 0 0 1
"ENSG00000232687" 0 0 0 1 1 1
"ENSG00000232692" 2 0 2 0 0 1
"ENSG00000232698" 0 0 0 0 0 0
"ENSG00000232777" 0 0 0 0 0 0
"ENSG00000232797" 0 0 0 0 0 0
"ENSG00000232806" 0 0 0 0 0 0
"ENSG00000232837" 0 0 0 0 0 0
"ENSG00000232855" 0 0 0 0 0 0
"ENSG00000232884" 0 0 0 0 0 0
"ENSG00000232886" 0 0 0 0 0 0
"ENSG00000232969" 0 0 0 0 0 0
"ENSG00000233036" 0 0 0 0 0 0
"ENSG00000233056" 0 0 0 1 0 0
"ENSG00000233206" 0 0 0 0 0 0
"ENSG00000233213" 0 0 0 0 1 0
